"id","first_name","last_name","shipping_address_id","email","phone","country","zip","city"
2,John,Doe,2,john.doe@example.com,"1234567890",USA,"10001",New York
3,Jane,Doe,4,jane.doe@example.com,"1234567890",USA,"10001",New York
4,igor,tadić,5,igortadicsudo@admin.hr,"1234567890",Croatia,"10001",Zagreb
5,Vinko,Horvat,6,itsvinko@kupac.hr,"41320841",Croatia,"10000",Zagreb
6,Dobrožizna,Pribislava,7,dobrozizna@pribislava.com,"413201321",Slovenia,"10321",Maribor
7,Destiny,Wiggins,,shaneyoung@example.net,"001-583-518-2254x95022",Cyprus,"26271",Mccormickland
8,Megan,Clements,,dustin77@example.net,"6954872725",Lithuania,"28493",Ronaldside
9,Benjamin,Perry,,colton27@example.org,(613)600-6494x410,Armenia,"10407",Woodtown
10,David,Juarez,,torreskathleen@example.net,"465-895-1497",Greenland,"36644",Amberchester
11,Katie,Burns,,nwilliams@example.net,"4967451850",Kiribati,"16620",North Charlesmouth
12,Wendy,Lambert,,jenkinslori@example.org,"708.952.4909x847",Yemen,"86784",Port Jonathan
13,Darryl,Murillo,,michellele@example.net,"749-495-2453x49449",Equatorial Guinea,"99469",West Jeffrey
14,Andrew,Jensen,,pparker@example.com,"687.306.9034",Kenya,"17026",East Kaitlynport
15,David,Nguyen,,michael36@example.net,"889-574-8614x7429",Nauru,"83595",Michelemouth
16,Jordan,Martinez,,luis41@example.net,"484.484.5852x079",Korea,"90590",Karenland
17,Melissa,Camacho,,michael26@example.com,"673.338.1088",Swaziland,"46292",Ryanshire
18,Jason,Ellis,,psexton@example.org,"364.732.7159",Cuba,"23265",New Deborahborough
19,Joseph,Watkins,,ppratt@example.org,+1-772-240-7570x221,Timor-Leste,"14656",Andersonborough
20,Cindy,Sherman,,rdean@example.com,"484.480.6059",Senegal,"11633",New Wendyland
21,Kathryn,Smith,,ravensmith@example.net,"896.955.2906",Thailand,"80483",Frazierhaven
22,Heather,Drake,,kristasanders@example.org,(644)282-6041,Saint Lucia,"90734",Jonesville
23,Jonathon,Lucas,,nancywhite@example.com,"701.282.0637x022",Algeria,"80346",Heatherfort
24,Jaclyn,Lester,,fsanchez@example.net,"9794013820",Syrian Arab Republic,"87592",Hoganport
25,Alexandra,Nichols,,nathaniel62@example.com,"815.675.9911x5527",British Indian Ocean Territory (Chagos Archipelago),"51122",Grahamfort
26,Beth,Miller,,morrisangie@example.com,"001-376-487-8261x838",Tanzania,"91359",North Jonathan
27,Johnny,Brooks,,thomasyoung@example.com,(693)912-9426x110,Jordan,"73039",North Raymondport
28,Mary,Stuart,,jamesbrown@example.com,+1-662-261-5735x1588,Anguilla,"89117",Lake Michael
29,Kevin,Torres,,vriley@example.com,+1-910-481-7274,United States Minor Outlying Islands,"63542",Youngshire
30,Anthony,Walker,,robertperez@example.org,(559)373-2938,Nicaragua,"94533",Matthewfurt
31,Daniel,Spears,,thomasmark@example.org,"264-874-8576",Russian Federation,"96858",Churchfort
32,Sarah,Hurst,,pricechristian@example.com,(399)211-4577x65956,Brazil,"53260",New Donnaland
33,Darlene,Adams,,millsnoah@example.net,+1-847-647-0890,Nepal,"39918",New Justinmouth
34,Kelli,Pittman,,williambrown@example.net,(830)811-0271,Cuba,"09971",Amberchester
