"id","address","city","state","zip","country"
1,"123 Main St",New York,NY,"10001",USA
2,"123 Main St",New York,NY,"10001",USA
3,"123 Main St",New York,NY,"10001",USA
4,"123 Main St",New York,NY,"10001",USA
5,Avenue Street 1,Sofia,Sofia,"437184",Bulgaria
6,Cooney Village 32,Zagreb,Zagreb,"10000",Croatia
7,City Street 51,Maribor,Maribor,"10321",Slovenia
8,"988 Watkins Well
Angelahaven, PA 90821",North Rhonda,Oklahoma,"75799",Aruba
9,"69295 Gibbs Divide Suite 938
East Jason, OH 79045",Port Ann,South Carolina,"14226",Mauritius
10,"4886 Spence Trail Apt. 970
Port Marcburgh, DC 96621",Melaniestad,Minnesota,"38778",Mongolia
11,"2165 Mercedes Rapids Suite 292
East Robertview, NY 42983",Harriston,Louisiana,"86223",Chile
12,"2384 Pacheco Lane
Taylorfurt, AL 76470",Port Tracibury,Utah,"03577",San Marino
13,"USS Bridges
FPO AA 97227",East Jason,Washington,"83467",Eritrea
14,"6024 Carter Springs Apt. 234
Elizabethfort, MT 72484",East Steven,Alaska,"24917",Gabon
15,"717 Mary Pines
Mitchellland, RI 06971",Alexanderside,North Dakota,"13006",Central African Republic
16,"78768 Michelle Meadows
South Christina, AK 39494",Lake Amychester,Michigan,"35612",Sierra Leone
17,"7232 William Islands
Brianburgh, TX 92289",Lake Kelly,Rhode Island,"80763",Guinea
18,"7883 Joseph Springs Apt. 741
Doyletown, MD 59305",Lake Valerietown,Delaware,"48780",Yemen
19,"USNV Miller
FPO AE 12093",Parkershire,Massachusetts,"23749",Azerbaijan
20,"43337 Adams Path Apt. 895
Port Jacqueline, MO 14363",Jeremyburgh,West Virginia,"07409",Libyan Arab Jamahiriya
21,"2011 Kenneth Isle
South Jamesville, MH 85165",Thomasfort,Colorado,"77503",Honduras
22,"29460 Lisa Skyway
Port Courtneyburgh, PA 97663",Port David,Alabama,"01749",Cocos (Keeling) Islands
23,"91183 Fischer Forges
Shellyberg, MA 03199",Parkermouth,Wisconsin,"73173",Malta
24,"5632 Martinez Wells Apt. 487
East Natalieport, VI 59084",Mayerland,Oklahoma,"04653",Timor-Leste
25,"215 Duncan Summit
Lake Richardport, RI 28498",Anneburgh,Alabama,"14775",Djibouti
26,"1148 Sierra Trail
West Nathan, CA 36672",East Christinaland,South Dakota,"90121",Guinea-Bissau
27,"4319 Alvarez Burgs
Lake William, WY 75000",Adrianberg,West Virginia,"16163",Antarctica (the territory South of 60 deg S)
28,"9594 Duran Lodge
Fernandezstad, AK 66947",Port Dustinmouth,Montana,"96384",Ireland
29,"91391 Williams Creek Apt. 093
Colemanport, PA 89500",Garciaport,North Carolina,"51588",Uruguay
30,"50629 Jose Landing Apt. 612
New Carlos, PW 82936",Lake Lindsay,Colorado,"68016",Grenada
31,"58740 Dwayne Meadow Apt. 955
Adamfort, HI 74710",Lake Stephanie,South Dakota,"26364",British Indian Ocean Territory (Chagos Archipelago)
32,"630 Kelly Hollow Apt. 295
Ianview, AL 24730",Bradleytown,Illinois,"97849",Swaziland
33,"Unit 0252 Box 9885
DPO AA 91722",East Cole,Tennessee,"13793",Qatar
34,"722 Stephenson Orchard Suite 373
Lake Kara, IL 23346",New Christopherfort,Arizona,"65803",Slovenia
35,"Unit 2245 Box 4355
DPO AA 74515",New Richardport,Virginia,"97639",Tanzania
36,"62607 Nolan Viaduct
Trevinoborough, NM 61800",West Allisonfurt,Ohio,"05147",Antigua and Barbuda
37,"055 Dennis Streets Suite 755
Gonzalezfort, OH 60136",New Andrewland,Florida,"67215",Egypt
38,"1204 Allison Radial Suite 432
Turnerton, MT 86671",Robinborough,Florida,"40475",Ireland
39,"USCGC Juarez
FPO AA 86491",New Teresaville,Virginia,"40323",Ghana
40,"2684 Guerra Harbors
Sweeneytown, MT 75201",North Dorothybury,Maryland,"70097",Cyprus
41,"74271 Melinda Street Suite 192
Port Lauren, AS 24824",Kiddberg,Missouri,"87470",Antigua and Barbuda
